title,artist,cover,year,id,hasSleeve
Anderson .Paak,Come Down,https://storage.googleapis.com/workthisfucker/ALLLRC/LRC110224132.jpeg,Sensual,classical piano-classical-classical-classical piano,TRUE
Dave Matthews Band,Come Tomorrow,https://storage.googleapis.com/workthisfucker/ALLLRC/LRCSource135.jpg,Romantic,afro soul-afropop,TRUE
Dave Matthews Band,Come Tomorrow,https://storage.googleapis.com/workthisfucker/ALLLRC/LRCSource126.jpg,Yearning,alt country-americana,TRUE
Mo' Horizons,Come Touch The Sun,https://storage.googleapis.com/workthisfucker/ALLLRC/LRCSource125.jpg,Sensual,gnawa,TRUE
Body Count& David Gilmour,Comfortably Numb,https://storage.googleapis.com/workthisfucker/ALLLRC/LRCSource136.jpg,Yearning,classical-classical piano-classical piano-classical-idm-ambient-shoegaze-downtempo,TRUE
Domenique Dumont,Comme ça,https://storage.googleapis.com/workthisfucker/ALLLRC/LRCSource176.jpg,Fiery,classical piano-classical-minimalism-classical piano,TRUE
Rosanne Cash,Country Music - A Film by Ken Burns (The Soundtrack) [Deluxe],https://storage.googleapis.com/workthisfucker/ALLLRC/LRC110224140.jpeg,Sensual,classical piano-classical-minimalism-classical piano,TRUE
John Hiatt,Crossing Muddy Waters,https://storage.googleapis.com/workthisfucker/ALLLRC/LRC110224135.jpeg,Sensual,americana,TRUE
Jason Isbell and the 400 Unit,Cumberland Gap,https://storage.googleapis.com/workthisfucker/ALLLRC/LRCSource160.jpg,Fiery,gnawa,TRUE
Steve Forbert,Daylight Savings Time,https://storage.googleapis.com/workthisfucker/ALLLRC/LRC90047.jpeg,Urgent,afro soul-afropop,TRUE
Steve Forbert,Daylight Savings Time,https://storage.googleapis.com/workthisfucker/ALLLRC/LRC110224164.jpeg,Fiery,alt country-americana,TRUE
Benjamin Gustafsson,Dear Earth& I'm Lost,https://storage.googleapis.com/workthisfucker/ALLLRC/LRCSource26.jpg,Upbeat,bluegrass-newgrass-americana-folk,TRUE
Flowering Inferno& Quantic,Death of the Revolution,https://storage.googleapis.com/workthisfucker/ALLLRC/LRCSource823.jpeg,Romantic,edm-dance,TRUE
Dear Sunday,Deja Vu (Familiar Face),https://storage.googleapis.com/workthisfucker/ALLLRC/LRC110224110.jpeg,Yearning,americana,TRUE
Dirty Heads,Dirty Heads,https://storage.googleapis.com/workthisfucker/ALLLRC/LRC110224185.jpeg,Yearning,alt country-americana-singer-songwriter,TRUE
Brian Eno,Discreet Music,https://storage.googleapis.com/workthisfucker/ALLLRC/LRCSource407.jpg,Peaceful,alt country-americana-roots rock,TRUE
Session Americana,Diving For Gold,https://storage.googleapis.com/workthisfucker/ALLLRC/LRC110224137.jpeg,Urgent,classical piano-classical-classical-classical piano-opera-chamber music,TRUE
Angelique Kidjo& Peter Gabriel,Djin Djin,https://storage.googleapis.com/workthisfucker/ALLLRC/LRC110224131.jpeg,Yearning,alt country-americana-bluegrass,TRUE
Ziggy Marley,Dragonfly,https://storage.googleapis.com/workthisfucker/ALLLRC/LRC110224122.jpeg,Yearning,djent-progressive metal-progressive rock,TRUE
Aerosmith,Draw The Line,https://storage.googleapis.com/workthisfucker/ALLLRC/LRC110224160.jpeg,Rowdy,classical-classical piano-classical piano-classical-idm-ambient-shoegaze-downtempo,TRUE
Patti Smith,Dream Of Life,https://storage.googleapis.com/workthisfucker/ALLLRC/LRC110224141.jpeg,Yearning,acid jazz-jazz funk,TRUE
Patti Smith& Jay Dee Daugherty& Lenny Kaye,Dream Of Life,https://storage.googleapis.com/workthisfucker/ALLLRC/LRC110224144.jpeg,Sensual,afro soul-afropop,TRUE
Patti Smith,Dream Of Life,https://storage.googleapis.com/workthisfucker/ALLLRC/LRCSource806.jpeg,Yearning,alt country-americana,TRUE
Patti Smith& Jay Dee Daugherty& Lenny Kaye,Dream Of Life,https://storage.googleapis.com/workthisfucker/ALLLRC/LRC110224111.jpeg,Gritty,alt country-americana,TRUE
